更新日期,更新時間,地區,累計個案數目,新增個案數目,新村大邱教堂,清道郡大南醫院相關,輸入個案數目,其他,與流行病學有聯繫的群組或確診個案,其他##
05/03/2020,0:00,大邱,4327,321,,,,,3015,1312
05/03/2020,0:00,仁川,9,0,,,,,4,5
05/03/2020,0:00,光州,14,1,,,,,8,6
05/03/2020,0:00,大田,16,1,,,,,9,7
05/03/2020,0:00,蔚山,23,0,,,,,11,12
05/03/2020,0:00,世宗,1,0,,,,,1,0
05/03/2020,0:00,京畿,110,9,,,,,80,30
05/03/2020,0:00,江原,23,2,,,,,11,12
05/03/2020,0:00,忠清北,12,1,,,,,5,7
05/03/2020,0:00,忠清南,86,4,,,,,81,5
05/03/2020,0:00,全羅北,7,0,,,,,3,4
05/03/2020,0:00,全羅南,4,-1,,,,,2,2
05/03/2020,0:00,慶尙北,861,87,,,,,597,264
05/03/2020,0:00,慶尙南,74,9,,,,,45,29
05/03/2020,0:00,濟州,4,1,,,,,0,4
06/03/2020,0:00,首爾,105,2,,,,,65,40
06/03/2020,0:00,釜山,95,3,,,,,67,28
06/03/2020,0:00,大邱,4694,367,,,,,3399,1295
06/03/2020,0:00,仁川,9,0,,,,,5,4
06/03/2020,0:00,光州,13,-1,,,,,8,5
06/03/2020,0:00,大田,18,2,,,,,10,8
06/03/2020,0:00,蔚山,23,0,,,,,10,13
06/03/2020,0:00,世宗,1,0,,,,,1,0
06/03/2020,0:00,京畿,120,10,,,,,86,34
06/03/2020,0:00,江原,25,2,,,,,12,13
06/03/2020,0:00,忠清北,15,3,,,,,6,9
06/03/2020,0:00,忠清南,90,4,,,,,88,2
06/03/2020,0:00,全羅北,7,0,,,,,3,4
06/03/2020,0:00,全羅南,4,0,,,,,2,2
06/03/2020,0:00,慶尙北,984,123,,,,,693,291
06/03/2020,0:00,慶尙南,77,3,,,,,48,29
06/03/2020,0:00,濟州,4,0,,,,,0,4
07/03/2020,0:00,首爾,108,3,,,,,65,43
07/03/2020,0:00,釜山,96,1,,,,,69,27
07/03/2020,0:00,大邱,5084,390,,,,,3718,1366
07/03/2020,0:00,仁川,9,0,,,,,5,4
07/03/2020,0:00,光州,13,0,,,,,9,4
07/03/2020,0:00,大田,18,0,,,,,10,8
07/03/2020,0:00,蔚山,23,0,,,,,12,11
07/03/2020,0:00,世宗,2,1,,,,,1,1
07/03/2020,0:00,京畿,130,10,,,,,97,33
07/03/2020,0:00,江原,26,1,,,,,15,11
07/03/2020,0:00,忠清北,20,5,,,,,14,6
07/03/2020,0:00,忠清南,92,2,,,,,91,1
07/03/2020,0:00,全羅北,7,0,,,,,4,3
07/03/2020,0:00,全羅南,4,0,,,,,2,2
07/03/2020,0:00,慶尙北,1049,65,,,,,758,291
07/03/2020,0:00,慶尙南,82,5,,,,,55,27
07/03/2020,0:00,濟州,4,0,,,,,0,4
08/03/2020,0:00,首爾,120,12,,,,,75,45
08/03/2020,0:00,釜山,97,1,,,,,70,27
08/03/2020,0:00,大邱,5381,297,,,,,4418,963
08/03/2020,0:00,仁川,9,0,,,,,5,4
08/03/2020,0:00,光州,13,0,,,,,9,4
08/03/2020,0:00,大田,18,0,,,,,10,8
08/03/2020,0:00,蔚山,24,1,,,,,12,12
08/03/2020,0:00,世宗,3,1,,,,,3,0
08/03/2020,0:00,京畿,141,11,,,,,106,35
08/03/2020,0:00,江原,27,1,,,,,15,12
08/03/2020,0:00,忠清北,24,4,,,,,14,10
08/03/2020,0:00,忠清南,98,6,,,,,92,6
08/03/2020,0:00,全羅北,7,0,,,,,4,3
08/03/2020,0:00,全羅南,4,0,,,,,2,2
08/03/2020,0:00,慶尙北,1081,32,,,,,777,304
08/03/2020,0:00,慶尙南,83,1,,,,,55,28
08/03/2020,0:00,濟州,4,0,,,,,0,4
09/03/2020,0:00,首爾,130,10,,,,,85,45
09/03/2020,0:00,釜山,96,-1,,,,,69,27
09/03/2020,0:00,大邱,5571,190,,,,,4582,989
09/03/2020,0:00,仁川,9,0,,,,,5,4
09/03/2020,0:00,光州,15,2,,,,,10,5
09/03/2020,0:00,大田,19,1,,,,,10,9
09/03/2020,0:00,蔚山,24,0,,,,,12,12
09/03/2020,0:00,世宗,6,3,,,,,6,0
09/03/2020,0:00,京畿,152,11,,,,,118,34
09/03/2020,0:00,江原,28,1,,,,,15,13
09/03/2020,0:00,忠清北,25,1,,,,,18,7
09/03/2020,0:00,忠清南,102,4,,,,,92,10
09/03/2020,0:00,全羅北,7,0,,,,,4,3
09/03/2020,0:00,全羅南,4,0,,,,,2,2
09/03/2020,0:00,慶尙北,1107,26,,,,,798,309
09/03/2020,0:00,慶尙南,83,0,,,,,55,28
09/03/2020,0:00,濟州,4,0,,,,,0,4
