District,Building name,Last date of residence of the case(s),Related probable/confirmed cases
Wan Chai,Times Square (non-residential),10/03/2020,183
Central & Western,"Meng Wah Complex, University of Hong Kong (non-residential)",11/03/2020,132
Wan Chai,"Block 2, Cavendish Heights, 33 Perkins Road (non-residential)",11/03/2020,137
Wan Chai,5 Perkins Road (non-residential),11/03/2020,137
Yau Tsim Mong,Argyle Centre Phase  (non-residential),11/03/2020,142
Sham Shui Po,Festival Walk (non-residential),11/03/2020,183
Tai Po,Fu Heng Shopping Centre (non-residential),11/03/2020,"119, 124, 140"
Wan Chai,Hong Kong Adventist Hospital (non-residential),11/03/2020,"147, 148"
Wong Tai Sin,Mikiki (non-residential),12/03/2020,155
Tuen Mun,Siu Lun Shopping Centre (non-residential),12/03/2020,161
Kwai Tsing ,Florentia Village (non-residential),12/03/2020,163
Yau Tsim Mong,Grand Centre  (non-residential),12/03/2020,"142, 195"
Kwai Tsing ,Greenfield Shopping Arcade (non-residential),13/03/2020,142
Central & Western,Kwong Ga Factory Building (non-residential),13/03/2020,146
Yau Tsim Mong,Kowloon Mosque And Islamic Centre (non-residential),13/03/2020,151
Sham Shui Po,Kimberland Center (non-residential),13/03/2020,153
Kowloon City,Celestial Place (non-residential),13/03/2020,155
Yau Tsim Mong,"MTR Kowloon Station, Airport Express Line Arrival Concourse  (non-residential)",13/03/2020,162
Central & Western,Pacific Place (non-residential),13/03/2020,182
Sai Kung ,13 Sha Tsui Path  (non-residential),13/03/2020,182
Wan Chai,Starcrest (non-residential),13/03/2020,182
Wan Chai,12 St. Francis Street (non-residential),13/03/2020,183
Central & Western,15 Queen's Road Central (non-residential),13/03/2020,211
Wan Chai,Immigration Tower (non-residential),13/03/2020,211
Wan Chai,183 Queen's Road East (non-residential),13/03/2020,211
Wan Chai,200 Queen's Road East (non-residential),13/03/2020,211
Central & Western,45 Pottinger Street (non-residential),13/03/2020,217
Sai Kung,Razor Hill Dairy Farm Shopping Centre (non-residential),13/03/2020,239
Wan Chai,Hopewell Centre (non-residential),13/03/2020,"101, 156, 168"
Central & Western,63 Wyndham Street (non-residential),13/03/2020,"191, 217"
Central & Western,2-4 Shelley Street (non-residential),13/03/2020,"191, 217, 250"
Central & Western,44 D'Aguilar Street (non-residential),13/03/2020,"191, 217, 250"
Wan Chai,Hong Kong Sanatorium & Hospital (non-residential),13/03/2020,"76, 85, 91, 110, 139, 147, 148"
Wan Chai,The Harbourview (non-residential),14/03/2020,144
Southern,"Ping On House, 2 Chengtu Road (non-residential)",14/03/2020,149
Kowloon City,In House (non-residential),14/03/2020,154
Wan Chai,Pinnacle Building (non-residential),14/03/2020,169
Central & Western,The Grand Stage (non-residential),14/03/2020,170
Tuen Mun,Kam Men Mansion (non-residential),14/03/2020,170
Tuen Mun,The Sherwood (non-residential),14/03/2020,170
Tuen Mun,1 Lam Tei Main Street (non-residential),14/03/2020,170
Tsuen Wan,Royal View Hotel (non-residential),14/03/2020,170
Sai Kung ,10A-C Po Tung Rd (non-residential),14/03/2020,182
Central & Western,Standard Chartered Bank Building (non-residential),14/03/2020,194
Central & Western,37-44 Cochrane Street (non-residential),14/03/2020,217
Central & Western,20A D'Aguilar Street (non-residential),14/03/2020,217
Yau Tsim Mong,Harilela Mansion (non-residential),14/03/2020,250
Yau Tsim Mong,23 Lock Road (non-residential),14/03/2020,250
Islands,Auberge Discovery Bay Hong Kong (non-residential),14/03/2020,"191, 233, 237, 253, 258, 259"
Tuen Mun,2 Hoi Chu Road  (non-residential),15/03/2020,152
North,"Lai Ming House, Wah Ming Estate (non-residential)",15/03/2020,155
Yau Tsim Mong,Kam San Building 78-86 Reclamation Street (non-residential),15/03/2020,159
Tuen Mun,Tuen Mun Town Plaza (non-residential),15/03/2020,161
Tuen Mun,Tuen Mun Trend Plaza (non-residential),15/03/2020,161
Wan Chai,14 Tai Wong Street East (non-residential),15/03/2020,169
Eastern ,Cheerful Garden (non-residential),15/03/2020,170
Shatin,Courtyard by Marriott Hong Kong (non-residential),15/03/2020,171
Shatin,Jubilee Square (non-residential),15/03/2020,172
Sham Shui Po,225 Ki Lung Street  (non-residential),15/03/2020,191
Sham Shui Po,323 Lai Chi Kok Rd (non-residential),15/03/2020,191
Central & Western,Printing House (non-residential),15/03/2020,194
Central & Western,ICBC Tower (non-residential),15/03/2020,195
Yau Tsim Mong,Langham Hotel Hong Kong (non-residential),15/03/2020,195
Wan Chai,9 Star Street (non-residential),15/03/2020,195
Wan Chai,Sun Fung Mansion (non-residential),15/03/2020,195
Central & Western,46 Wyndham Street (non-residential),15/03/2020,217
Central & Western,60 Wyndham Street (non-residential),15/03/2020,217
Central & Western,5 Lan Kwai Fong (non-residential),15/03/2020,217
Central & Western,Hong Kong Plaza (non-residential),15/03/2020,250
Central & Western,JW Marriott Hotel Hong Kong (non-residential),15/03/2020,"85, 101,104, 156"
Yau Tsim Mong,Sino Cheer Plaza  (non-residential),16/03/2020,159
Yau Tsim Mong,"Hang Shing Building, 363 Nathan Road (non-residential)",16/03/2020,159
Yau Tsim Mong,"Harvest Moon House, 337 - 339 Nathan Road (non-residential)",16/03/2020,159
Southern,Stanley Plaza (non-residential),16/03/2020,160
Central & Western,Admiralty Centre Tower 1 (non-residential),16/03/2020,161
Wan Chai,Win Fung Building (non-residential),16/03/2020,169
Shatin,The Palazzo Shopping Centre (non-residential),16/03/2020,172
Yau Tsim Mong,Mount Kelly School Hong Kong (non-residential),16/03/2020,174
Central & Western,The Centrium (non-residential),16/03/2020,195
Central & Western,Kinwick Centre (non-residential),16/03/2020,195
Central & Western,21 Gough Street (non-residential),16/03/2020,195
Central & Western, Wing Tuck Commercial Centre (non-residential),16/03/2020,208
Yau Tsim Mong,Mount Kelly School Hong Kong (non-residential),16/03/2020,243
Eastern,AIA Tower (non-residential),16/03/2020,250
Eastern,"Phase II, Healthy Village (non-residential)",16/03/2020,250
Central & Western,Wah Ming Centre (non-residential),16/03/2020,251
Tuen Mun,Hong Kong Gold Coast Hotel (non-residential),16/03/2020,253
Central & Western,Hang Fai Building (non-residential),16/03/2020,261
Kwun Tong ,Draco Industrial Building  (non-residential),16/03/2020,262
Tsuen Wan,Wing Fung Industrial Building (non-residential),16/03/2020,263
Central & Western,Nan Dao Commercial Building (non-residential),16/03/2020,"177, 178"
Central & Western,Silver Jubilee Mansion (non-residential),16/03/2020,"177, 178"
Central & Western,Century Square (non-residential),16/03/2020,"184, 195"
Central & Western,California Tower (non-residential),16/03/2020,"195, 199"
Shatin,Hilton Plaza (non-residential),17/03/2020,172
Kwun Tong , Lam Tin South Sports Centre  (non-residential),17/03/2020,200
Sai Kung, Park Central (non-residential),17/03/2020,205
Central & Western,Prince’s Building (non-residential),17/03/2020,206
Central & Western,33 Des Voeux Rd West (non-residential),17/03/2020,208
Tsuen Wan,Carson Mansion (non-residential),17/03/2020,229
Kwai Tsing ,"Block 1, Kwai Tak Industrial Centre (non-residential)",17/03/2020,229
Kwun Tong,C-BONS International Tower (non-residential),17/03/2020,233
Eastern,Sai Wan Ho Market (non-residential),17/03/2020,237
Wan Chai,Vocational Training Council (non-residential),17/03/2020,237
Tsuen Wan,8 Chung On Street (non-residential),17/03/2020,253
Shatin,CCT Telecom Building  (non-residential),17/03/2020,"191, 217"
Kowloon City,Hong Kong Baptist Hospital (non-residential),17/03/2020,"195, 243"
Tuen Mun,V city  (non-residential),18/03/2020,193
Yau Tsim Mong ,Boundary Street Sports Centre No. 2 (non-residential),18/03/2020,200
Yuen Long,Yuen Long Division Police Station (non-residential),18/03/2020,201
Central & Western, Gloucester Tower (non-residential),18/03/2020,206
Shatin,89 Chik Fu Street (non-residential),18/03/2020,253
Central & Western,Bank of China building  (non-residential),18/03/2020,"106, 183, 204"
Eastern,Technology Plaza (non-residential),19/03/2020,229
Yuen Long,Tin Shui Shopping Center (non-residential),19/03/2020,231
Sai Kung,Ming Tak Shopping Centre (non-residential),19/03/2020,256
Kwai Tsing ,Shek Yam Shopping Centre (non-residential),20/03/2020,263
Central & Western,97 Hollywood Road (non-residential),20/03/2020,266
