As of date,As of time,Areas,Number of cases,Number of deaths
14/02/2020,23:59,Zhanjiang,22,0
14/02/2020,23:59,Zhaoqing,17,1
14/02/2020,23:59,Qingyuan,12,0
14/02/2020,23:59,Jieyang,8,0
14/02/2020,23:59,Heyuan,3,0
14/02/2020,23:59,Jiangmen,22,0
14/02/2020,23:59,Maoming,13,0
14/02/2020,23:59,Chaozhou,5,0
15/02/2020,23:59,Guangzhou,338,0
15/02/2020,23:59,Shenzhen,414,0
15/02/2020,23:59,Zhuhai,96,0
15/02/2020,23:59,Shantou,25,0
15/02/2020,23:59,Foshan,84,0
15/02/2020,23:59,Shaoguan,10,0
15/02/2020,23:59,Meizhou,16,0
15/02/2020,23:59,Huizhou,58,0
15/02/2020,23:59,Shanwei,5,0
15/02/2020,23:59,Dongguan,89,1
15/02/2020,23:59,Zhongshan,65,0
15/02/2020,23:59,Yangjiang,13,0
15/02/2020,23:59,Zhanjiang,22,0
15/02/2020,23:59,Zhaoqing,17,1
15/02/2020,23:59,Qingyuan,12,0
15/02/2020,23:59,Jieyang,8,0
15/02/2020,23:59,Heyuan,3,0
15/02/2020,23:59,Jiangmen,23,0
15/02/2020,23:59,Maoming,13,0
15/02/2020,23:59,Chaozhou,5,0
16/02/2020,23:59,Guangzhou,339,0
16/02/2020,23:59,Shenzhen,415,2
16/02/2020,23:59,Zhuhai,97,0
16/02/2020,23:59,Shantou,25,0
16/02/2020,23:59,Foshan,84,0
16/02/2020,23:59,Shaoguan,10,0
16/02/2020,23:59,Meizhou,16,0
16/02/2020,23:59,Huizhou,58,0
16/02/2020,23:59,Shanwei,5,0
16/02/2020,23:59,Dongguan,89,1
16/02/2020,23:59,Zhongshan,66,0
16/02/2020,23:59,Yangjiang,13,0
16/02/2020,23:59,Zhanjiang,22,0
16/02/2020,23:59,Zhaoqing,17,1
16/02/2020,23:59,Qingyuan,12,0
16/02/2020,23:59,Jieyang,8,0
16/02/2020,23:59,Heyuan,4,0
16/02/2020,23:59,Jiangmen,23,0
16/02/2020,23:59,Maoming,14,0
16/02/2020,23:59,Chaozhou,5,0
17/02/2020,23:59,Guangzhou,339,0
17/02/2020,23:59,Shenzhen,416,2
17/02/2020,23:59,Zhuhai,98,0
17/02/2020,23:59,Shantou,25,0
17/02/2020,23:59,Foshan,84,0
17/02/2020,23:59,Shaoguan,10,0
17/02/2020,23:59,Meizhou,16,0
17/02/2020,23:59,Huizhou,59,0
17/02/2020,23:59,Shanwei,5,0
17/02/2020,23:59,Dongguan,91,1
17/02/2020,23:59,Zhongshan,66,0
17/02/2020,23:59,Yangjiang,13,0
17/02/2020,23:59,Zhanjiang,22,0
17/02/2020,23:59,Zhaoqing,18,1
17/02/2020,23:59,Qingyuan,12,0
17/02/2020,23:59,Jieyang,8,0
17/02/2020,23:59,Heyuan,4,0
17/02/2020,23:59,Jiangmen,23,0
17/02/2020,23:59,Maoming,14,0
17/02/2020,23:59,Chaozhou,5,0
18/02/2020,23:59,Guangzhou,339,0
18/02/2020,23:59,Shenzhen,416,2
18/02/2020,23:59,Zhuhai,98,1
18/02/2020,23:59,Shantou,25,0
18/02/2020,23:59,Foshan,84,0
18/02/2020,23:59,Shaoguan,10,0
18/02/2020,23:59,Meizhou,16,0
18/02/2020,23:59,Huizhou,62,0
18/02/2020,23:59,Shanwei,5,0
18/02/2020,23:59,Dongguan,91,1
18/02/2020,23:59,Zhongshan,66,0
18/02/2020,23:59,Yangjiang,13,0
18/02/2020,23:59,Zhanjiang,22,0
18/02/2020,23:59,Zhaoqing,18,1
18/02/2020,23:59,Qingyuan,12,0
18/02/2020,23:59,Jieyang,8,0
18/02/2020,23:59,Heyuan,4,0
18/02/2020,23:59,Jiangmen,23,0
18/02/2020,23:59,Maoming,14,0
18/02/2020,23:59,Chaozhou,5,0
19/02/2020,23:59,Guangzhou,339,0
19/02/2020,23:59,Shenzhen,416,2
19/02/2020,23:59,Zhuhai,98,1
19/02/2020,23:59,Shantou,25,0
19/02/2020,23:59,Foshan,84,0
19/02/2020,23:59,Shaoguan,10,0
19/02/2020,23:59,Meizhou,16,0
19/02/2020,23:59,Huizhou,62,0
19/02/2020,23:59,Shanwei,5,0
19/02/2020,23:59,Dongguan,92,1
19/02/2020,23:59,Zhongshan,66,0
19/02/2020,23:59,Yangjiang,13,0
19/02/2020,23:59,Zhanjiang,22,0
19/02/2020,23:59,Zhaoqing,18,1
19/02/2020,23:59,Qingyuan,12,0
19/02/2020,23:59,Jieyang,8,0
19/02/2020,23:59,Heyuan,4,0
19/02/2020,23:59,Jiangmen,23,0
19/02/2020,23:59,Maoming,14,0
19/02/2020,23:59,Chaozhou,5,0
20/02/2020,23:59,Guangzhou,339,0
20/02/2020,23:59,Shenzhen,416,2
20/02/2020,23:59,Zhuhai,98,1
20/02/2020,23:59,Shantou,25,0
20/02/2020,23:59,Foshan,84,0
20/02/2020,23:59,Shaoguan,10,0
20/02/2020,23:59,Meizhou,16,0
20/02/2020,23:59,Huizhou,62,0
20/02/2020,23:59,Shanwei,5,0
20/02/2020,23:59,Dongguan,93,1
20/02/2020,23:59,Zhongshan,66,0
20/02/2020,23:59,Yangjiang,13,0
20/02/2020,23:59,Zhanjiang,22,0
20/02/2020,23:59,Zhaoqing,18,1
20/02/2020,23:59,Qingyuan,12,0
20/02/2020,23:59,Jieyang,8,0
20/02/2020,23:59,Heyuan,4,0
20/02/2020,23:59,Jiangmen,23,0
20/02/2020,23:59,Maoming,14,0
20/02/2020,23:59,Chaozhou,5,0
21/02/2020,23:59,Guangzhou,343,0
21/02/2020,23:59,Shenzhen,417,2
21/02/2020,23:59,Zhuhai,98,1
21/02/2020,23:59,Shantou,25,0
21/02/2020,23:59,Foshan,84,0
21/02/2020,23:59,Shaoguan,10,0
21/02/2020,23:59,Meizhou,16,0
21/02/2020,23:59,Huizhou,62,0
21/02/2020,23:59,Shanwei,5,0
21/02/2020,23:59,Dongguan,93,1
21/02/2020,23:59,Zhongshan,66,0
21/02/2020,23:59,Yangjiang,13,0
21/02/2020,23:59,Zhanjiang,22,0
21/02/2020,23:59,Zhaoqing,19,1
21/02/2020,23:59,Qingyuan,12,0
21/02/2020,23:59,Jieyang,8,0
21/02/2020,23:59,Heyuan,4,0
21/02/2020,23:59,Jiangmen,23,0
21/02/2020,23:59,Maoming,14,0
21/02/2020,23:59,Chaozhou,5,0
22/02/2020,23:59,Guangzhou,345,0
22/02/2020,23:59,Shenzhen,417,3
22/02/2020,23:59,Zhuhai,98,1
22/02/2020,23:59,Shantou,25,0
22/02/2020,23:59,Foshan,84,0
22/02/2020,23:59,Shaoguan,10,0
22/02/2020,23:59,Meizhou,16,0
22/02/2020,23:59,Huizhou,62,0
22/02/2020,23:59,Shanwei,5,0
22/02/2020,23:59,Dongguan,94,1
22/02/2020,23:59,Zhongshan,66,0
22/02/2020,23:59,Yangjiang,13,0
22/02/2020,23:59,Zhanjiang,22,0
22/02/2020,23:59,Zhaoqing,19,1
22/02/2020,23:59,Qingyuan,12,0
22/02/2020,23:59,Jieyang,8,0
22/02/2020,23:59,Heyuan,4,0
22/02/2020,23:59,Jiangmen,23,0
22/02/2020,23:59,Maoming,14,0
22/02/2020,23:59,Chaozhou,5,0
23/02/2020,23:59,Guangzhou,345,0
23/02/2020,23:59,Shenzhen,417,3
23/02/2020,23:59,Zhuhai,98,1
23/02/2020,23:59,Shantou,25,0
23/02/2020,23:59,Foshan,84,0
23/02/2020,23:59,Shaoguan,10,0
23/02/2020,23:59,Meizhou,16,0
23/02/2020,23:59,Huizhou,62,0
23/02/2020,23:59,Shanwei,5,0
23/02/2020,23:59,Dongguan,96,1
23/02/2020,23:59,Zhongshan,66,0
23/02/2020,23:59,Yangjiang,14,0
23/02/2020,23:59,Zhanjiang,22,0
23/02/2020,23:59,Zhaoqing,19,1
23/02/2020,23:59,Qingyuan,12,0
23/02/2020,23:59,Jieyang,8,0
23/02/2020,23:59,Heyuan,4,0
23/02/2020,23:59,Jiangmen,23,0
23/02/2020,23:59,Maoming,14,0
23/02/2020,23:59,Chaozhou,5,0
24/02/2020,23:59,Guangzhou,345,0
24/02/2020,23:59,Shenzhen,417,3
24/02/2020,23:59,Zhuhai,98,1
24/02/2020,23:59,Shantou,25,0
24/02/2020,23:59,Foshan,84,0
24/02/2020,23:59,Shaoguan,10,0
24/02/2020,23:59,Meizhou,16,0
24/02/2020,23:59,Huizhou,62,0
24/02/2020,23:59,Shanwei,5,0
24/02/2020,23:59,Dongguan,96,1
24/02/2020,23:59,Zhongshan,66,0
24/02/2020,23:59,Yangjiang,14,0
24/02/2020,23:59,Zhanjiang,22,0
24/02/2020,23:59,Zhaoqing,19,1
24/02/2020,23:59,Qingyuan,12,0
24/02/2020,23:59,Jieyang,8,0
24/02/2020,23:59,Heyuan,4,0
24/02/2020,23:59,Jiangmen,23,0
24/02/2020,23:59,Maoming,14,0
24/02/2020,23:59,Chaozhou,5,0
25/02/2020,23:59,Guangzhou,346,1
25/02/2020,23:59,Shenzhen,417,3
25/02/2020,23:59,Zhuhai,98,1
25/02/2020,23:59,Shantou,25,0
25/02/2020,23:59,Foshan,84,0
25/02/2020,23:59,Shaoguan,10,0
25/02/2020,23:59,Meizhou,16,0
25/02/2020,23:59,Huizhou,62,0
25/02/2020,23:59,Shanwei,5,0
25/02/2020,23:59,Dongguan,97,1
25/02/2020,23:59,Zhongshan,66,0
25/02/2020,23:59,Yangjiang,14,0
25/02/2020,23:59,Zhanjiang,22,0
25/02/2020,23:59,Zhaoqing,19,1
25/02/2020,23:59,Qingyuan,12,0
25/02/2020,23:59,Jieyang,8,0
25/02/2020,23:59,Heyuan,4,0
25/02/2020,23:59,Jiangmen,23,0
25/02/2020,23:59,Maoming,14,0
25/02/2020,23:59,Chaozhou,5,0
26/02/2020,23:59,Guangzhou,346,1
26/02/2020,23:59,Shenzhen,417,3
26/02/2020,23:59,Zhuhai,98,1
26/02/2020,23:59,Shantou,25,0
26/02/2020,23:59,Foshan,84,0
26/02/2020,23:59,Shaoguan,10,0
26/02/2020,23:59,Meizhou,16,0
26/02/2020,23:59,Huizhou,62,0
26/02/2020,23:59,Shanwei,5,0
