更新日期,更新時間,地區,個案數目,死亡個案
01/02/2020,23:59,茂名,3,
01/02/2020,23:59,潮州,3,
02/02/2020,12:00,廣州,179,
02/02/2020,12:00,深圳,207,
02/02/2020,12:00,珠海,47,
02/02/2020,12:00,汕頭,15,
02/02/2020,12:00,佛山,43,
02/02/2020,12:00,韶關,5,
02/02/2020,12:00,梅州,7,
02/02/2020,12:00,惠州,23,
02/02/2020,12:00,汕尾,4,
02/02/2020,12:00,東莞,27,
02/02/2020,12:00,中山,21,
02/02/2020,12:00,陽江,10,
02/02/2020,12:00,湛江,14,
02/02/2020,12:00,肇慶,7,
02/02/2020,12:00,清遠,6,
02/02/2020,12:00,揭陽,6,
02/02/2020,12:00,河源,1,
02/02/2020,12:00,江門,3,
02/02/2020,12:00,茂名,3,
02/02/2020,12:00,潮州,4,
02/02/2020,23:59,廣州,189,
02/02/2020,23:59,深圳,226,
02/02/2020,23:59,珠海,51,
02/02/2020,23:59,汕頭,17,
02/02/2020,23:59,佛山,43,
02/02/2020,23:59,韶關,5,
02/02/2020,23:59,梅州,7,
02/02/2020,23:59,惠州,28,
02/02/2020,23:59,汕尾,5,
02/02/2020,23:59,東莞,31,
02/02/2020,23:59,中山,25,
02/02/2020,23:59,陽江,10,
02/02/2020,23:59,湛江,14,
02/02/2020,23:59,肇慶,7,
02/02/2020,23:59,清遠,6,
02/02/2020,23:59,揭陽,6,
02/02/2020,23:59,河源,1,
02/02/2020,23:59,江門,4,
02/02/2020,23:59,茂名,4,
02/02/2020,23:59,潮州,4,
03/02/2020,12:00,廣州,200,
03/02/2020,12:00,深圳,245,
03/02/2020,12:00,珠海,55,
03/02/2020,12:00,汕頭,18,
03/02/2020,12:00,佛山,45,
03/02/2020,12:00,韶關,5,
03/02/2020,12:00,梅州,8,
03/02/2020,12:00,惠州,28,
03/02/2020,12:00,汕尾,5,
03/02/2020,12:00,東莞,31,
03/02/2020,12:00,中山,25,
03/02/2020,12:00,陽江,10,
03/02/2020,12:00,湛江,14,
03/02/2020,12:00,肇慶,10,
03/02/2020,12:00,清遠,7,
03/02/2020,12:00,揭陽,6,
03/02/2020,12:00,河源,1,
03/02/2020,12:00,江門,4,
03/02/2020,12:00,茂名,4,
03/02/2020,12:00,潮州,4,
03/02/2020,23:59,廣州,216,
03/02/2020,23:59,深圳,269,
03/02/2020,23:59,珠海,64,
03/02/2020,23:59,汕頭,18,
03/02/2020,23:59,佛山,46,
03/02/2020,23:59,韶關,6,
03/02/2020,23:59,梅州,9,
03/02/2020,23:59,惠州,29,
03/02/2020,23:59,汕尾,5,
03/02/2020,23:59,東莞,37,
03/02/2020,23:59,中山,31,
03/02/2020,23:59,陽江,12,
03/02/2020,23:59,湛江,15,
03/02/2020,23:59,肇慶,10,
03/02/2020,23:59,清遠,8,
03/02/2020,23:59,揭陽,6,
03/02/2020,23:59,河源,1,
03/02/2020,23:59,江門,6,
03/02/2020,23:59,茂名,5,
03/02/2020,23:59,潮州,4,
04/02/2020,12:00,廣州,224,
04/02/2020,12:00,深圳,271,
04/02/2020,12:00,珠海,64,
04/02/2020,12:00,汕頭,18,
04/02/2020,12:00,佛山,49,
04/02/2020,12:00,韶關,6,
04/02/2020,12:00,梅州,9,
04/02/2020,12:00,惠州,29,
04/02/2020,12:00,汕尾,5,
04/02/2020,12:00,東莞,37,
04/02/2020,12:00,中山,31,
04/02/2020,12:00,陽江,12,
04/02/2020,12:00,湛江,18,
04/02/2020,12:00,肇慶,10,
04/02/2020,12:00,清遠,8,
04/02/2020,12:00,揭陽,6,
04/02/2020,12:00,河源,1,
04/02/2020,12:00,江門,6,
04/02/2020,12:00,茂名,5,
04/02/2020,12:00,潮州,4,
04/02/2020,23:59,廣州,237,
04/02/2020,23:59,深圳,289,
04/02/2020,23:59,珠海,69,
04/02/2020,23:59,汕頭,20,
04/02/2020,23:59,佛山,49,
04/02/2020,23:59,韶關,6,
04/02/2020,23:59,梅州,10,
04/02/2020,23:59,惠州,31,
04/02/2020,23:59,汕尾,5,
04/02/2020,23:59,東莞,44,
04/02/2020,23:59,中山,35,
04/02/2020,23:59,陽江,12,
04/02/2020,23:59,湛江,18,
04/02/2020,23:59,肇慶,11,
04/02/2020,23:59,清遠,10,
04/02/2020,23:59,揭陽,6,
04/02/2020,23:59,河源,1,
04/02/2020,23:59,江門,7,
04/02/2020,23:59,茂名,6,
04/02/2020,23:59,潮州,4,
05/02/2020,12:00,廣州,249,
05/02/2020,12:00,深圳,291,
05/02/2020,12:00,珠海,72,
05/02/2020,12:00,汕頭,20,
05/02/2020,12:00,佛山,50,
05/02/2020,12:00,韶關,6,
05/02/2020,12:00,梅州,10,
05/02/2020,12:00,惠州,34,
05/02/2020,12:00,汕尾,5,
05/02/2020,12:00,東莞,44,
05/02/2020,12:00,中山,36,
05/02/2020,12:00,陽江,12,
05/02/2020,12:00,湛江,18,
05/02/2020,12:00,肇慶,13,
05/02/2020,12:00,清遠,10,
05/02/2020,12:00,揭陽,6,
05/02/2020,12:00,河源,1,
05/02/2020,12:00,江門,7,
05/02/2020,12:00,茂名,6,
05/02/2020,12:00,潮州,5,
