As of date,As of time,Areas,Cumulative number of cases,Number of new cases,Shincheonji Church of Jesus,Cheongdo-gun Daenam Hospital related,Imported cases,Others,With epidemiological linkage to a cluster or known confirmed case,Others##
05/03/2020,0:00,Cheonnam,4,-1,,,,,2,2
05/03/2020,0:00,Gyeongbuk,861,87,,,,,597,264
05/03/2020,0:00,Gyeongnam,74,9,,,,,45,29
05/03/2020,0:00,Jeju,4,1,,,,,0,4
06/03/2020,0:00,Seoul,105,2,,,,,65,40
06/03/2020,0:00,Busan,95,3,,,,,67,28
06/03/2020,0:00,Daegu,4694,367,,,,,3399,1295
06/03/2020,0:00,Incheon,9,0,,,,,5,4
06/03/2020,0:00,Gwangju,13,-1,,,,,8,5
06/03/2020,0:00,Daejeon,18,2,,,,,10,8
06/03/2020,0:00,Ulsan,23,0,,,,,10,13
06/03/2020,0:00,Sejong,1,0,,,,,1,0
06/03/2020,0:00,Gyeonggi,120,10,,,,,86,34
06/03/2020,0:00,Gangwon,25,2,,,,,12,13
06/03/2020,0:00,Chungbuk,15,3,,,,,6,9
06/03/2020,0:00,Chungnam,90,4,,,,,88,2
06/03/2020,0:00,Cheonbuk,7,0,,,,,3,4
06/03/2020,0:00,Cheonnam,4,0,,,,,2,2
06/03/2020,0:00,Gyeongbuk,984,123,,,,,693,291
06/03/2020,0:00,Gyeongnam,77,3,,,,,48,29
06/03/2020,0:00,Jeju,4,0,,,,,0,4
07/03/2020,0:00,Seoul,108,3,,,,,65,43
07/03/2020,0:00,Busan,96,1,,,,,69,27
07/03/2020,0:00,Daegu,5084,390,,,,,3718,1366
07/03/2020,0:00,Incheon,9,0,,,,,5,4
07/03/2020,0:00,Gwangju,13,0,,,,,9,4
07/03/2020,0:00,Daejeon,18,0,,,,,10,8
07/03/2020,0:00,Ulsan,23,0,,,,,12,11
07/03/2020,0:00,Sejong,2,1,,,,,1,1
07/03/2020,0:00,Gyeonggi,130,10,,,,,97,33
07/03/2020,0:00,Gangwon,26,1,,,,,15,11
07/03/2020,0:00,Chungbuk,20,5,,,,,14,6
07/03/2020,0:00,Chungnam,92,2,,,,,91,1
07/03/2020,0:00,Cheonbuk,7,0,,,,,4,3
07/03/2020,0:00,Cheonnam,4,0,,,,,2,2
07/03/2020,0:00,Gyeongbuk,1049,65,,,,,758,291
07/03/2020,0:00,Gyeongnam,82,5,,,,,55,27
07/03/2020,0:00,Jeju,4,0,,,,,0,4
08/03/2020,0:00,Seoul,120,12,,,,,75,45
08/03/2020,0:00,Busan,97,1,,,,,70,27
08/03/2020,0:00,Daegu,5381,297,,,,,4418,963
08/03/2020,0:00,Incheon,9,0,,,,,5,4
08/03/2020,0:00,Gwangju,13,0,,,,,9,4
08/03/2020,0:00,Daejeon,18,0,,,,,10,8
08/03/2020,0:00,Ulsan,24,1,,,,,12,12
08/03/2020,0:00,Sejong,3,1,,,,,3,0
08/03/2020,0:00,Gyeonggi,141,11,,,,,106,35
08/03/2020,0:00,Gangwon,27,1,,,,,15,12
08/03/2020,0:00,Chungbuk,24,4,,,,,14,10
08/03/2020,0:00,Chungnam,98,6,,,,,92,6
08/03/2020,0:00,Cheonbuk,7,0,,,,,4,3
08/03/2020,0:00,Cheonnam,4,0,,,,,2,2
08/03/2020,0:00,Gyeongbuk,1081,32,,,,,777,304
08/03/2020,0:00,Gyeongnam,83,1,,,,,55,28
08/03/2020,0:00,Jeju,4,0,,,,,0,4
09/03/2020,0:00,Seoul,130,10,,,,,85,45
09/03/2020,0:00,Busan,96,-1,,,,,69,27
09/03/2020,0:00,Daegu,5571,190,,,,,4582,989
09/03/2020,0:00,Incheon,9,0,,,,,5,4
09/03/2020,0:00,Gwangju,15,2,,,,,10,5
09/03/2020,0:00,Daejeon,19,1,,,,,10,9
09/03/2020,0:00,Ulsan,24,0,,,,,12,12
09/03/2020,0:00,Sejong,6,3,,,,,6,0
09/03/2020,0:00,Gyeonggi,152,11,,,,,118,34
09/03/2020,0:00,Gangwon,28,1,,,,,15,13
09/03/2020,0:00,Chungbuk,25,1,,,,,18,7
09/03/2020,0:00,Chungnam,102,4,,,,,92,10
09/03/2020,0:00,Cheonbuk,7,0,,,,,4,3
09/03/2020,0:00,Cheonnam,4,0,,,,,2,2
09/03/2020,0:00,Gyeongbuk,1107,26,,,,,798,309
09/03/2020,0:00,Gyeongnam,83,0,,,,,55,28
09/03/2020,0:00,Jeju,4,0,,,,,0,4
10/03/2020,0:00,Seoul,141,11,,,,,97,44
10/03/2020,0:00,Busan,96,0,,,,,69,27
10/03/2020,0:00,Daegu,5663,92,,,,,4676,987
10/03/2020,0:00,Incheon,13,4,,,,,5,8
10/03/2020,0:00,Gwangju,15,0,,,,,10,5
10/03/2020,0:00,Daejeon,18,-1,,,,,10,8
10/03/2020,0:00,Ulsan,24,0,,,,,15,9
10/03/2020,0:00,Sejong,8,2,,,,,8,0
10/03/2020,0:00,Gyeonggi,163,11,,,,,126,37
10/03/2020,0:00,Gangwon,28,0,,,,,15,13
10/03/2020,0:00,Chungbuk,25,0,,,,,21,4
10/03/2020,0:00,Chungnam,104,2,,,,,99,5
10/03/2020,0:00,Cheonbuk,7,0,,,,,4,3
10/03/2020,0:00,Cheonnam,4,0,,,,,2,2
10/03/2020,0:00,Gyeongbuk,1117,10,,,,,814,303
10/03/2020,0:00,Gyeongnam,83,0,,,,,55,28
10/03/2020,0:00,Jeju,4,0,,,,,0,4
11/03/2020,0:00,Seoul,193,52,,,,,149,44
11/03/2020,0:00,Busan,98,2,,,,,70,28
11/03/2020,0:00,Daegu,5794,131,,,,,4755,1039
11/03/2020,0:00,Incheon,25,12,,,,,20,5
11/03/2020,0:00,Gwangju,15,0,,,,,10,5
11/03/2020,0:00,Daejeon,18,0,,,,,10,8
11/03/2020,0:00,Ulsan,25,1,,,,,16,9
11/03/2020,0:00,Sejong,10,2,,,,,9,1
11/03/2020,0:00,Gyeonggi,175,12,,,,,136,39
11/03/2020,0:00,Gangwon,29,1,,,,,18,11
11/03/2020,0:00,Chungbuk,27,2,,,,,25,2
11/03/2020,0:00,Chungnam,112,8,,,,,105,7
11/03/2020,0:00,Cheonbuk,7,0,,,,,4,3
11/03/2020,0:00,Cheonnam,4,0,,,,,3,1
11/03/2020,0:00,Gyeongbuk,1135,18,,,,,820,315
11/03/2020,0:00,Gyeongnam,84,1,,,,,63,21
11/03/2020,0:00,Jeju,4,0,,,,,0,4
12/03/2020,0:00,Seoul,212,19,,,,,166,46
12/03/2020,0:00,Busan,99,1,,,,,70,29
12/03/2020,0:00,Daegu,5867,73,,,,,4808,1059
12/03/2020,0:00,Incheon,25,0,,,,,22,3
12/03/2020,0:00,Gwangju,15,0,,,,,10,5
12/03/2020,0:00,Daejeon,20,2,,,,,10,10
12/03/2020,0:00,Ulsan,25,0,,,,,19,6
12/03/2020,0:00,Sejong,15,5,,,,,14,1
12/03/2020,0:00,Gyeonggi,178,3,,,,,138,40
12/03/2020,0:00,Gangwon,29,0,,,,,19,10
12/03/2020,0:00,Chungbuk,27,0,,,,,25,2
12/03/2020,0:00,Chungnam,114,2,,,,,113,1
12/03/2020,0:00,Cheonbuk,7,0,,,,,4,3
12/03/2020,0:00,Cheonnam,4,0,,,,,3,1
12/03/2020,0:00,Gyeongbuk,1143,8,,,,,823,320
